编号,开始答题时间,结束答题时间,答题时长,1.您的年龄是？岁,2.您的性别是？,3.您的职业/从属行业是？,4.您的专业是？,5.在日常社交场合中，您更倾向于哪种状态？,6.候选人1:能力感,6.候选人1:亲和力,6.候选人1:您直觉他的月薪/社会地位高吗？,7.候选人2:能力感,7.候选人2:亲和力,7.候选人2:您直觉他的月薪/社会地位高吗？,8.候选人3:能力感,8.候选人3:亲和力,8.候选人3:您直觉他的月薪/社会地位高吗？,9.候选人4:能力感,9.候选人4:亲和力,9.候选人4:您直觉他的月薪/社会地位高吗？,10.仅凭形象，您认为这四位候选人中，谁最有可能在当前职场环境中获得最高的入职起薪？,11.岗位一：需要严谨合规、处理复杂流程的【运营主管】,12.需要突破常规、寻找新增长点的【创意总监】,13.假设您是该公司的 CEO，手里只有一个 Offer，且只能见一面就做决定，您会优先面见哪一位？,14.您的选择主要是因为对方表现出了：,15.我承认，在资源有限的情况下，我会优先选择看起来更‘像成功人士’的人合作。,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:自律性（能否管理好自己的身材和形象）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:经济实力（是否有足够的资源进行形象维护）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:审美力（是否具备良好的品味和眼界）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:尊重感（是否重视社交场合和对方）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:逻辑感（着装是否符合身份与场合逻辑）,16.如果你认为外貌管理很重要，你认为它背后反映了一个人什么样的特质？:不认为外貌能反映任何内在特质,17.在第二页的问卷中，您觉得自己是否受到了候选人外貌风格的影响？,18.我认为一个外表邋遢的人，很难拥有高质量的社交关系。,19.在陌生社交场合（如朋友聚会），你决定是否去认识一个人的主要依据是？,20.在社交/职场中，你认为以下特质的重要性排序是？:专业能力,20.在社交/职场中，你认为以下特质的重要性排序是？:外貌形象,20.在社交/职场中，你认为以下特质的重要性排序是？:性格脾气,20.在社交/职场中，你认为以下特质的重要性排序是？:学历背景
37,14-Mar-2026 13:14:50,14-Mar-2026 13:16:56,126,B.12-18,B.女性,A.未就业学生,G.其他,8,C.3,C.3,D.4,C.3,B.2,C.3,B.2,C.3,D.4,C.3,C.3,C.3,B.候选人2,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,6,,,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,,,7,10,C.对方的表情（笑容、眼神）是否看起来好接近,2,4,1,3
36,11-Mar-2026 15:15:04,11-Mar-2026 15:17:29,145,C.18-24,B.女性,A.未就业学生,A.理学/工学类,5,D.4,C.3,C.3,B.2,C.3,A.1,E.5,E.5,E.5,C.3,B.2,D.4,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),A.极强的自律感,9,A.自律性（能否管理好自己的身材和形象）,B.经济实力（是否有足够的资源进行形象维护）,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,8,8,A.对方的长相是否在我的审美点上,1,3,2,4
35,11-Mar-2026 13:27:57,11-Mar-2026 13:30:12,135,C.18-24,A.男性,A.未就业学生,B.经济/管理/金融类,1,A.1,A.1,A.1,B.2,A.1,B.2,C.3,B.2,B.2,B.2,B.2,B.2,C.候选人3,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),D.独特的个人审美/审美认同,4,,,C.审美力（是否具备良好的品味和眼界）,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,7,2,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,1,4,2,3
34,11-Mar-2026 12:29:55,11-Mar-2026 12:32:25,150,B.12-18,B.女性,A.未就业学生,A.理学/工学类,5,A.1,A.1,A.1,B.2,B.2,B.2,C.3,C.3,C.3,D.4,D.4,D.4,D.候选人4,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),C.踏实务实的气质,5,,,,,,F.不认为外貌能反映任何内在特质,5,10,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,1,4,3,2
33,11-Mar-2026 12:11:17,11-Mar-2026 12:20:58,581,C.18-24,B.女性,A.未就业学生,G.其他,5,D.4,D.4,D.4,D.4,D.4,D.4,C.3,C.3,B.2,C.3,C.3,C.3,D.候选人4,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),E.其他,6,,,,,E.逻辑感（着装是否符合身份与场合逻辑）,,7,6,C.对方的表情（笑容、眼神）是否看起来好接近,1,3,2,4
32,11-Mar-2026 11:45:29,11-Mar-2026 11:48:42,193,B.12-18,B.女性,A.未就业学生,A.理学/工学类,6,B.2,B.2,B.2,E.5,E.5,E.5,E.5,E.5,E.5,B.2,B.2,B.2,D.候选人4,C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),C.踏实务实的气质,6,,,C.审美力（是否具备良好的品味和眼界）,,,,6,6,D.对方周围围着多少人（社交地位）,1,4,2,3
31,11-Mar-2026 00:30:43,11-Mar-2026 00:32:47,124,B.12-18,A.男性,A.未就业学生,G.其他,8,C.3,C.3,B.2,A.1,A.1,D.4,A.1,A.1,C.3,A.1,A.1,A.1,A.候选人1,D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),C.踏实务实的气质,7,,B.经济实力（是否有足够的资源进行形象维护）,,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,10,5,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,2,1,4,3
30,11-Mar-2026 00:01:00,11-Mar-2026 00:05:15,255,C.18-24,A.男性,A.未就业学生,E.医学/生物/农林类,6,D.4,B.2,C.3,B.2,C.3,D.4,B.2,E.5,C.3,C.3,E.5,D.4,B.候选人2,A.[图片](https://wj.gtimg.com/attachments/question/20260310/S1HcP2AVvGiI.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),D.独特的个人审美/审美认同,8,A.自律性（能否管理好自己的身材和形象）,,,D.尊重感（是否重视社交场合和对方）,E.逻辑感（着装是否符合身份与场合逻辑）,,7,4,C.对方的表情（笑容、眼神）是否看起来好接近,2,3,1,4
29,10-Mar-2026 23:26:00,10-Mar-2026 23:31:11,311,C.18-24,A.男性,A.未就业学生,A.理学/工学类,2,C.3,D.4,C.3,E.5,C.3,D.4,C.3,C.3,C.3,B.2,B.2,B.2,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.[图片](https://wj.gtimg.com/attachments/question/20260310/3tRGMgeOI7J7.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,7,A.自律性（能否管理好自己的身材和形象）,,C.审美力（是否具备良好的品味和眼界）,,E.逻辑感（着装是否符合身份与场合逻辑）,,7,9,C.对方的表情（笑容、眼神）是否看起来好接近,3,1,2,4
28,10-Mar-2026 23:19:27,10-Mar-2026 23:22:06,159,C.18-24,A.男性,A.未就业学生,E.医学/生物/农林类,5,E.5,C.3,E.5,C.3,C.3,D.4,E.5,B.2,E.5,B.2,B.2,B.2,C.候选人3,B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),D.[图片](https://wj.gtimg.com/attachments/question/20260310/yRuRaLaheEzj.png),B.[图片](https://wj.gtimg.com/attachments/question/20260310/EHrdHZZlmIa8.png),C.踏实务实的气质,5,A.自律性（能否管理好自己的身材和形象）,,C.审美力（是否具备良好的品味和眼界）,,,,8,10,B.对方的穿搭是否体现了某种共同爱好（如同款潮牌、运动感）,2,3,1,4
